,latitud,longitud,property_type,property_rooms,property_surface_total,property_price
398864,-34.6077167,-58.4495544,Departamento,3.0,62.0,140000.0
426238,-34.5945474322,-58.4276103973,Departamento,4.0,95.0,185000.0
376939,-34.6008639,-58.3781096,Departamento,1.0,23.0,42000.0
365477,-34.5701614,-58.4348812,Departamento,1.0,34.0,127000.0
353174,-34.5776715383,-58.4866082668,Departamento,4.0,77.0,155000.0
420453,-34.5852283,-58.4398756,Departamento,3.0,80.0,300000.0
452253,-34.5978636,-58.4104422,Departamento,3.0,103.0,155000.0
243547,-34.6168954,-58.4414313,Departamento,2.0,45.0,107000.0
352965,-34.6546722,-58.4974574,Departamento,4.0,125.33478452503846,69000.0
384809,-34.6190737247,-58.4701446609,PH,3.0,53.0,98000.0
7029,-34.6117413,-58.4916114,Casa,5.0,235.0,329000.0
87809,-34.5999995,-58.4187966,Departamento,2.0,35.0,62000.0
240321,-34.6053644106,-58.393874654,Departamento,3.0,65.0,145000.0
257391,-34.6181827,-58.444693,Departamento,2.0,48.0,94900.0
371469,-34.6456756,-58.5034086,PH,3.0,77.0,165000.0
59405,-34.575415,-58.482071,Departamento,4.0,68.0,153000.0
426021,-34.5878212,-58.4144601,Departamento,1.0,48.0,100000.0
252847,-34.6169871,-58.445827,Departamento,4.0,105.0,230000.0
329537,-34.541616,-58.4733768,Departamento,1.0,70.0,152000.0
100946,-34.5973912527,-58.3841671487,Departamento,1.0,23.0,63000.0
352879,-34.5469603,-58.4809418,Departamento,2.0,98.0,174485.0
7584,-34.6079844,-58.3907068,Departamento,3.0,93.0,125000.0
194300,-34.563442,-58.4485716,Departamento,5.0,236.0,595000.0
33350,-34.565181,-58.472995,Departamento,3.0,66.0,170000.0
260934,-34.56789,-58.452636,Departamento,5.0,131.0,340000.0
155881,-34.6088757,-58.3887281,Departamento,5.0,165.0,255000.0
322722,-34.543584,-58.4656751,Departamento,2.0,46.0,175000.0
293527,-34.5974662904,-58.4043368836,Departamento,1.0,45.0,121658.0
89371,-34.5569753,-58.4580633,Departamento,2.0,38.0,105000.0
422537,-34.5828206,-58.4744631,Departamento,1.0,35.0,72000.0
116504,-34.633698,-58.439931,Departamento,3.0,75.0,175000.0
203735,-34.5529609,-58.4634838,Departamento,1.0,38.0,100000.0
209197,-34.5795573,-58.433152,Departamento,3.0,82.0,240000.0
10474,-34.6149703,-58.4732861,PH,3.0,84.0,98000.0
293804,-34.6213871,-58.3816414,Departamento,2.0,54.47181790748739,82000.0
271283,-34.6075323,-58.4457706,PH,3.0,67.0,135000.0
89683,-34.6912683,-58.4652935,Departamento,3.0,59.0,115000.0
241346,-34.5858224,-58.4134131,Departamento,5.0,275.0,725000.0
231423,-34.6434151,-58.5188157,PH,3.0,51.0,68000.0
105084,-34.5518669,-58.468343,Departamento,1.0,41.0,129000.0
25069,-34.5811139,-58.4400447,Casa,4.0,332.0,700000.0
27941,-34.6103677,-58.4412248,Departamento,1.0,65.0,119900.0
135479,-34.5952698,-58.4081588,Departamento,2.0,28.0,60000.0
452249,-34.5944154,-58.4016229,Departamento,3.0,58.0,135000.0
239967,-34.5856634,-58.415008,Departamento,4.0,145.0,525000.0
49900,-34.5776433,-58.4722717,Departamento,2.0,57.0,145000.0
333365,-34.6248248,-58.5040283,Departamento,1.0,35.0,69900.0
430869,-34.6123099657,-58.5246312618,Casa,5.0,210.0,220000.0
455386,-34.575523,-58.490516,Departamento,2.0,57.0,104500.0
393398,-34.648098,-58.502587,PH,2.0,62.0,99999.0
275134,-34.6099901,-58.4509683,Departamento,3.0,70.0,155000.0
135525,-34.588378,-58.508652,Departamento,2.0,44.0,115000.0
277729,-34.6006694,-58.4466121,Departamento,4.0,126.09759235480072,99000.0
267859,-34.5525943,-58.4429397,Departamento,3.0,72.0,315000.0
347428,-34.6166917,-58.443128,Departamento,1.0,44.0,102182.0
236179,-34.5773065,-58.4372521,Departamento,2.0,61.0,115000.0
222376,-34.5819382,-58.4043259,Departamento,4.0,214.0,465000.0
207183,-34.608421,-58.423009,Departamento,2.0,45.0,119000.0
26698,-34.5902203,-58.4995482,PH,3.0,72.0,115000.0
350952,-34.5688712,-58.4884216,Departamento,2.0,48.0,162000.0
336248,-34.5860211289,-58.4008803192,Departamento,4.0,150.0,350000.0
374119,-34.610994,-58.3633665,Departamento,4.0,149.0,900000.0
14587,-34.5993907,-58.412292,Departamento,2.0,57.52304922653639,149500.0
100710,-34.623647,-58.459098,Departamento,3.0,68.0,119900.0
256433,-34.5672732,-58.4320439,Departamento,5.0,200.0,598000.0
168159,-34.6167248,-58.383489,Departamento,1.0,35.0,80000.0
94136,-34.552357,-58.4595034,Departamento,1.0,33.0,79000.0
133628,-34.5871135,-58.4059004,Departamento,1.0,19.0,50000.0
29107,-34.558225,-58.482163,PH,4.0,97.0,159000.0
6645,-34.6179489,-58.3757991,PH,3.0,90.0,153000.0
107887,-34.5666011715,-58.4769097089,Casa,5.0,386.0,450000.0
46419,-34.5937031006,-58.4227395058,Departamento,2.0,40.0,75000.0
167009,-34.6351211,-58.4513154,Departamento,1.0,26.0,65000.0
184515,-34.5693918,-58.4593366,Casa,5.0,162.0,420000.0
53798,-34.5931875,-58.3862293,Departamento,4.0,154.0,375000.0
180597,-34.5762581,-58.4370521,Departamento,4.0,168.0,585000.0
321162,-34.6271643,-58.4362847,Departamento,1.0,35.0,95000.0
392431,-34.5998285,-58.378231,Departamento,1.0,31.0,69000.0
217645,-34.6143627,-58.4384615,Departamento,3.0,66.0,130000.0
243121,-34.5867575987,-58.4070667294,Departamento,2.0,37.0,130000.0
355602,-34.570902,-58.449782,Departamento,1.0,35.0,79900.0
344815,-34.571213,-58.430603,Departamento,2.0,45.0,84000.0
350685,-34.5987018422,-58.4087276459,Departamento,2.0,45.0,120000.0
427081,-34.5598733,-58.4492538,Departamento,3.0,70.0,165000.0
92856,-34.6199289,-58.439704,Departamento,2.0,39.0,75000.0
214663,-34.6537984,-58.4728477,Casa,3.0,70.0,80000.0
101008,-34.625154,-58.4524816,Departamento,2.0,48.0,125000.0
398941,-34.6032065,-58.4341612,Departamento,3.0,67.0,139000.0
339495,-34.5570986,-58.4797284,Departamento,3.0,105.0,242700.0
329559,-34.5983446966,-58.3723646376,Departamento,2.0,76.0,135000.0
363753,-34.6119438,-58.4920224,Casa,4.0,150.0,297000.0
124694,-34.5670599,-58.4371475,Departamento,3.0,80.0,229000.0
294158,-34.574491,-58.502742,PH,3.0,112.0,239000.0
244029,-34.6125864,-58.4551126,PH,4.0,179.0,330000.0
187964,-34.6045384,-58.4249555,Departamento,1.0,42.0,77349.0
67956,-34.5423936,-58.4733461,Departamento,3.0,67.0,139000.0
91970,-34.6156147,-58.4126768,Departamento,2.0,50.0,120000.0
87132,-34.5773663,-58.4914706,PH,3.0,105.0,149000.0
115256,-34.6148883,-58.4058807,Departamento,4.0,95.0,200000.0
412862,-34.6132699,-58.4127403,PH,3.0,61.0,110000.0
240343,-34.6154533,-58.4374803,Departamento,4.0,101.0,195000.0
103913,-34.5755568,-58.449681,Departamento,1.0,39.0,82000.0
452576,-34.6120151,-58.3982749,Departamento,3.0,51.0,80000.0
39883,-34.5787346,-58.4740778,Departamento,3.0,65.0,160000.0
136205,-34.5922724,-58.3897857,Departamento,5.0,237.0,450000.0
191519,-34.5845219,-58.4134053,Departamento,2.0,44.0,108000.0
229575,-34.6466533,-58.4947247,PH,2.0,85.0,140000.0
192193,-34.617627,-58.450371,PH,3.0,79.0,117500.0
108947,-34.5968739,-58.4382542,Departamento,3.0,54.0,119000.0
2560,-34.606582,-58.3878825,Departamento,1.0,40.0,44000.0
302753,-34.5849406,-58.4235878,Departamento,3.0,57.0,180000.0
327240,-34.6084521,-58.4266541,Departamento,3.0,55.0,119000.0
220751,-34.6035977,-58.376752,Departamento,2.0,65.91393535392115,120000.0
233786,-34.5776193949,-58.4825397498,Departamento,4.0,72.0,219000.0
275965,-34.6172668431,-58.4244137286,PH,4.0,126.0,160000.0
257421,-34.6118337,-58.4414587,Departamento,3.0,64.0,198000.0
169893,-34.5634239,-58.4400501,Departamento,3.0,69.0,130000.0
442755,-34.5781297,-58.4544866,PH,6.0,240.0,310000.0
411405,-34.5660948,-58.4599358,Departamento,4.0,137.0,370000.0
386641,-34.6147221,-58.409612,Departamento,1.0,24.0,65000.0
115554,-34.567381,-58.485599,Departamento,2.0,46.0,184000.0
235499,-34.5943059,-58.5092095,Departamento,3.0,50.0,89900.0
62875,-34.5805116,-58.404479,Departamento,5.0,240.0,840000.0
333742,-34.6316231,-58.4647418,Departamento,1.0,50.0,92000.0
441002,-34.615361,-58.38021,Departamento,1.0,40.0,78000.0
375671,-34.5882299,-58.4002346,Departamento,2.0,39.0,110000.0
310829,-34.5712,-58.4839,Departamento,2.0,44.0,89900.0
404439,-34.5368014,-58.466784,Departamento,3.0,67.0,215000.0
97900,-34.5776929,-58.4683023,Departamento,3.0,74.0,190000.0
429115,-34.5756382,-58.4458981,Departamento,3.0,60.0,85000.0
456182,-34.6471386,-58.420174,PH,3.0,81.0,89900.0
206928,-34.6728922,-58.4746906,PH,4.0,134.48847848218546,155000.0
458381,-34.5817265,-58.4740156,Departamento,2.0,57.0,149000.0
264296,-34.601309,-58.4688831,Departamento,2.0,46.0,97000.0
257064,-34.5932722,-58.3875753,Departamento,4.0,91.0,220000.0
9888,-34.5884624298,-58.3848026079,Departamento,5.0,202.0,570000.0
121753,-34.6287538,-58.3759728,Departamento,2.0,60.0,75000.0
47757,-34.601055,-58.376333,Departamento,2.0,50.0,95000.0
20620,-34.5876586,-58.4392513,PH,2.0,55.0,138000.0
399397,-34.5904547,-58.4793355,Departamento,1.0,34.0,67000.0
15274,-34.5991745,-58.4120035,Departamento,2.0,50.0,119900.0
296079,-34.5695826626,-58.4870180307,Departamento,4.0,140.0,560000.0
313933,-34.5590715,-58.4688851,Casa,7.0,268.15309731676143,320000.0
401444,-34.5774132,-58.4332759,Departamento,1.0,32.0,64000.0
67987,-34.5991037,-58.4291809,Departamento,2.0,35.0,68000.0
282838,-34.6194061,-58.4519993,Departamento,3.0,78.0,142000.0
204153,-34.591136,-58.3910015,Departamento,2.0,109.0,399000.0
279055,-34.6077779451,-58.4005336968,Departamento,3.0,43.0,47000.0
287668,-34.6838859,-58.4642161,Departamento,3.0,54.0,58000.0
449781,-34.6130881,-58.4244292,PH,3.0,55.0,83000.0
19886,-34.6095666,-58.3847447,Departamento,1.0,20.0,52000.0
119272,-34.5872511,-58.4229959,Departamento,2.0,43.0,179000.0
9493,-34.5703702726,-58.4299345079,Departamento,2.0,67.0,340000.0
425910,-34.6436202,-58.5147111,Departamento,1.0,38.0,41700.0
68240,-34.6315,-58.370383,Departamento,1.0,104.0,180000.0
215634,-34.583195157,-58.4007753699,Departamento,4.0,179.0,560000.0
160560,-34.6376114,-58.4029283,Departamento,1.0,37.0,69000.0
183752,-34.6167379,-58.4201225,PH,3.0,42.0,79000.0
262210,-34.620559,-58.461123,Departamento,4.0,89.0,215000.0
226176,-34.556813,-58.46963,Departamento,1.0,25.0,75000.0
440528,-34.6309412,-58.468114,Departamento,2.0,48.0,105000.0
139174,-34.5891876,-58.4127683,Departamento,2.0,62.0,135000.0
47689,-34.6109783,-58.4831015,Departamento,1.0,39.0,93000.0
183795,-34.5634021,-58.4639903,Departamento,2.0,50.0,132000.0
256173,-34.583765,-58.4126768,Departamento,4.0,112.0,285000.0
360339,-34.579056,-58.447417,Departamento,3.0,72.0,198000.0
392878,-34.5995119,-58.4052907,Departamento,2.0,39.0,68000.0
70707,-34.583688,-58.469951,Departamento,1.0,30.0,47992.0
375695,-34.5995719,-58.4063838,Departamento,4.0,123.0,189000.0
213862,-34.5563672,-58.4620347,Departamento,1.0,40.0,115000.0
398068,-34.5587004018,-58.4652533756,Departamento,2.0,46.0,107000.0
54747,-34.6252179,-58.4257678,Departamento,3.0,65.0,148000.0
196215,-34.5983446966,-58.3723646376,Departamento,2.0,76.0,135000.0
325962,-34.5974772078,-58.4191346169,Departamento,2.0,58.0,130000.0
327136,-34.6265672,-58.4683567,Departamento,4.0,210.0,179900.0
253052,-34.6408497,-58.4796102,Departamento,3.0,169.0,185000.0
454923,-34.5873977,-58.5115996,Departamento,3.0,108.0,125000.0
258910,-34.6147253,-58.4684747,Departamento,3.0,67.0,108000.0
210931,-34.5887093387,-58.4192468203,Departamento,1.0,42.0,110000.0
393105,-34.635089,-58.42196,PH,3.0,75.0,105000.0
24853,-34.5786593,-58.4467064,PH,4.0,117.0,220000.0
30174,-34.5647468764,-58.4522008896,Departamento,2.0,56.0,169000.0
195613,-34.6199893,-58.4925517,PH,4.0,125.33478452503846,195000.0
310342,-34.5667503,-58.4359251,Departamento,5.0,184.0,448000.0
150883,-34.6311902,-58.4419064,Departamento,3.0,76.0,155000.0
118440,-34.5789947,-58.4475623,Casa,5.0,200.0,550000.0
216868,-34.6149212,-58.3629036,Departamento,2.0,105.0,510000.0
360168,-34.5678314,-58.4522354,Departamento,2.0,40.0,120000.0
314735,-34.5940120051,-58.4414834712,Departamento,1.0,36.0,80000.0
371631,-34.5736762,-58.4895815,Departamento,3.0,70.0,229000.0
450332,-34.593186429,-58.43067348,PH,3.0,139.0,214900.0
199498,-34.6110140297,-58.41731366,Departamento,3.0,60.0,119000.0
143788,-34.6098625,-58.4207584,PH,1.0,19.0,42000.0
365356,-34.5873526897,-58.4219351915,PH,2.0,80.0,242000.0
305924,-34.6274269967,-58.4206598998,Departamento,2.0,49.0,125000.0
258712,-34.6018578,-58.4898411,Departamento,3.0,70.0,134000.0
392671,-34.5545564869,-58.4544995842,Departamento,2.0,48.0,145000.0
379342,-34.6323246,-58.4613651,Departamento,4.0,160.0,450000.0
92096,-34.5948318,-58.4198205,Departamento,1.0,26.0,64765.0
17119,-34.6233808,-58.3667894,Departamento,1.0,42.0,145617.0
218683,-34.6320781,-58.4437567,Departamento,3.0,88.0,144000.0
66686,-34.5870043,-58.3861855,Departamento,4.0,163.0,490000.0
431159,-34.6220839,-58.3986464,Departamento,1.0,37.0,86666.0
409715,-34.5883253,-58.4444911,Departamento,5.0,129.0,285000.0
7475,-34.626996,-58.3705892,Departamento,4.0,112.0,220000.0
404573,-34.5826135,-58.4134317,Departamento,4.0,144.0,279900.0
99586,-34.6412762,-58.3640939,PH,4.0,147.0,130000.0
275013,-34.5957374,-58.4029087,Departamento,4.0,89.0,215000.0
107683,-34.6045392144,-58.4548509121,Departamento,3.0,55.0,88000.0
328255,-34.6261133,-58.3971466,PH,4.0,78.0,120000.0
403214,-34.6264016424,-58.4567311821,Departamento,2.0,40.0,83000.0
403050,-34.564736,-58.463882,Departamento,3.0,120.0,365000.0
436206,-34.5533765688,-58.4514655716,Departamento,2.0,80.0,199000.0
428364,-34.6111708897,-58.4080410004,Departamento,2.0,43.0,63000.0
139684,-34.6021276,-58.3717547,Departamento,3.0,60.0,129000.0
227463,-34.638459,-58.4680369,Casa,4.0,155.0,265000.0
269912,-34.5442925547,-58.4644248614,Departamento,2.0,42.0,92500.0
427058,-34.5611849,-58.4435063,Departamento,2.0,44.0,108000.0
314741,-34.591331,-58.506571,Departamento,4.0,102.0,262000.0
358292,-34.5825033,-58.4266544,Departamento,3.0,98.0,490000.0
265608,-34.5626361,-58.4414619,Casa,5.0,150.0,300000.0
428502,-34.6176077885,-58.443505168,Departamento,2.0,39.0,55000.0
368596,-34.5780111441,-58.4237817693,Departamento,3.0,60.0,197900.0
65553,-34.5910801,-58.4079493,Departamento,5.0,143.0,260000.0
7886,-34.6268554,-58.3836541,Departamento,3.0,51.0,69900.0
356855,-34.6085637,-58.4268026,Departamento,1.0,31.0,74000.0
221443,-34.5796426,-58.4061237,Departamento,4.0,228.0,699000.0
19680,-34.56903,-58.4536112,Departamento,2.0,29.0,82000.0
157126,-34.5964343,-58.4222046,Departamento,2.0,47.0,210000.0
277383,-34.5649059,-58.4657014,Departamento,2.0,43.0,70000.0
260210,-34.6025725,-58.4127242,PH,3.0,50.0,85000.0
63656,-34.6208188,-58.4744822,Departamento,3.0,69.0,160000.0
283362,-34.5991959,-58.4836201,Departamento,3.0,77.0,146870.0
356963,-34.6145841,-58.3616214,Departamento,3.0,187.0,680000.0
415226,-34.6282053,-58.374628,Departamento,1.0,31.0,71100.0
450224,-34.5714141204,-58.4327602386,Departamento,2.0,46.0,120000.0
46027,-34.6248837,-58.4253543,Departamento,2.0,35.0,66000.0
266118,-34.597957,-58.376805,Departamento,3.0,101.0,185000.0
178144,-34.5873825,-58.3972762,Departamento,3.0,75.0,230000.0
379529,-34.5794167,-58.4112346,Departamento,4.0,304.0,900000.0
179100,-34.57866697,-58.4141550116,Departamento,4.0,192.17138259242708,499000.0
212755,-34.5923209263,-58.4029605368,Departamento,2.0,37.0,105000.0
455383,-34.5706402,-58.4768541,Departamento,2.0,41.0,135000.0
145733,-34.5781049,-58.4325101,Departamento,2.0,60.0,170000.0
368603,-34.573524,-58.4405828,Departamento,1.0,37.0,107968.0
9263,-34.6205172,-58.4577367,Departamento,2.0,44.0,110000.0
188893,-34.6126694,-58.4567754,Departamento,4.0,110.0,220000.0
204185,-34.6113676,-58.4043893,Departamento,3.0,60.0,85000.0
272908,-34.6419505,-58.3696606,PH,4.0,95.0,135000.0
201173,-34.6497501,-58.3873531,PH,3.0,40.0,115000.0
164288,-34.6161349,-58.4307746,Departamento,5.0,131.0,325000.0
353251,-34.6009328,-58.393725,Departamento,1.0,22.0,52000.0
325906,-34.5890887,-58.412414,Departamento,2.0,45.0,105000.0
422278,-34.5588935,-58.4459638,Departamento,4.0,130.0,600000.0
45342,-34.5883218,-58.4071931,Departamento,3.0,59.0,152000.0
215222,-34.6013943,-58.4080238,Departamento,3.0,62.0,110000.0
374094,-34.5962143,-58.4445793,Departamento,1.0,40.0,79900.0
321483,-34.6186933,-58.4960011,PH,3.0,65.0,99000.0
84154,-34.6283807657,-58.452176054,Departamento,4.0,100.0,430000.0
9634,-34.6449833108,-58.3731508255,Departamento,1.0,37.0,99000.0
308631,-34.605643,-58.391043,Departamento,3.0,61.0,85000.0
226240,-34.5925221641,-58.4237091783,Departamento,4.0,83.0,195000.0
79857,-34.5514883,-58.4740766,Casa,5.0,174.0,368000.0
288415,-34.6319552,-58.4481356,Casa,6.0,512.0,610000.0
122418,-34.58908,-58.4922405,PH,2.0,45.0,98000.0
17087,-34.6194542,-58.4314625,Departamento,3.0,45.0,119000.0
329830,-34.557547337,-58.4514775501,Departamento,1.0,28.0,75000.0
345913,-34.5988843,-58.4174797,Departamento,2.0,44.0,120000.0
306381,-34.5581614233,-58.446279429,Departamento,1.0,37.0,99000.0
204182,-34.6039114,-58.4008171,Departamento,3.0,90.0,125000.0
442316,-34.568957917,-58.4557341516,Departamento,2.0,45.0,135000.0
72756,-34.6004535,-58.4923283,Departamento,3.0,84.0,208911.0
26553,-34.5797375,-58.4958579,Departamento,3.0,136.0,200000.0
220753,-34.5925495,-58.4395146,Departamento,2.0,38.0,64600.0
229360,-34.6132815,-58.3624946,Departamento,2.0,153.0,1100000.0
178409,-34.6775082,-58.47787,Departamento,3.0,90.0,160000.0
418359,-34.6173870524,-58.4608697891,Departamento,2.0,51.0,119000.0
375683,-34.5548267,-58.4815674,Departamento,2.0,52.0,109200.0
147359,-34.573884,-58.4200314,Departamento,1.0,45.0,112000.0
92876,-34.6473323,-58.5032352,Departamento,2.0,51.0,98000.0
250678,-34.5795658,-58.483464,Departamento,3.0,95.0,260000.0
222126,-34.5931875,-58.3862293,Departamento,3.0,116.0,265000.0
242768,-34.622739,-58.413835,PH,4.0,145.0,214900.0
292650,-34.6729225,-58.4810744,Casa,3.0,159.70021763950885,180000.0
35794,-34.608598,-58.480056,Casa,5.0,342.0,330000.0
114191,-34.6009319,-58.3730591,Departamento,2.0,37.0,77000.0
148132,-34.6032341,-58.4943753,Departamento,4.0,82.0,169000.0
50944,-34.5619902976,-58.4740447998,PH,3.0,60.0,150000.0
409760,-34.5785647,-58.450533,PH,4.0,261.0,459000.0
206152,-34.5770629,-58.4054458,Departamento,3.0,92.0,290000.0
344948,-34.5702291,-58.4498383,Departamento,1.0,30.0,85000.0
178896,-34.6335816,-58.4605864,Departamento,3.0,63.0,120000.0
261959,-34.5917704,-58.3779921,Departamento,4.0,100.0,230000.0
220653,-34.5934591,-58.3977237,Departamento,2.0,64.0,173000.0
168050,-34.6168954,-58.4414313,Departamento,2.0,55.0,165000.0
163924,-34.5870715,-58.4268846,Departamento,1.0,33.0,85800.0
300347,-34.5994789,-58.38799,Departamento,1.0,38.0,75000.0
89182,-34.5779782,-58.4119079,Departamento,4.0,155.0,595000.0
126128,-34.5783606569,-58.4321953921,Departamento,1.0,39.0,105000.0
350838,-34.5977579,-58.5125692,Departamento,4.0,123.0,319000.0
443060,-34.604307,-58.4433785,Departamento,4.0,89.0,205000.0
156540,-34.5797371,-58.4329495,PH,3.0,117.0,289000.0
207384,-34.571982,-58.478857,Departamento,2.0,55.0,75000.0
91981,-34.6094427,-58.4218835,Departamento,3.0,73.0,239000.0
7683,-34.591604,-58.388306,Departamento,6.0,197.0,580000.0
281425,-34.5770878,-58.4932238,Departamento,2.0,57.0,110000.0
26378,-34.6024391,-58.4519542,Departamento,2.0,54.0,100000.0
201849,-34.5577611355,-58.4518575143,Departamento,2.0,49.0,152000.0
113990,-34.6190831,-58.4057506,Departamento,1.0,40.0,74900.0
96623,-34.6290146,-58.4421053,Departamento,1.0,36.0,70000.0
312702,-34.6842856,-58.4748345,PH,3.0,50.0,130000.0
355417,-34.606062,-58.413004,Departamento,3.0,52.0,125000.0
395320,-34.6155942,-58.4932693,Casa,5.0,64.0,169000.0
430337,-34.58854,-58.405848,Departamento,3.0,59.0,159900.0
383168,-34.6155768,-58.5273059,PH,3.0,109.0,140000.0
346601,-34.6234659033,-58.3481901884,Casa,6.0,200.0,247000.0
55172,-34.5612389,-58.462696,Departamento,3.0,78.0,175000.0
411791,-34.5980686,-58.4978701,Departamento,4.0,117.0,160000.0
1158,-34.5923685,-58.5124037,Departamento,4.0,113.0,419000.0
197436,-34.588424,-58.41375,Departamento,4.0,117.0,290000.0
216763,-34.6254158,-58.4360466,Departamento,4.0,174.0,390000.0
79407,-34.5993519,-58.3866372,Departamento,4.0,140.0,225000.0
146156,-34.5728906,-58.4781853,Departamento,2.0,63.0,139000.0
313564,-34.6056132206,-58.3833896555,Departamento,5.0,143.0,229900.0
392686,-34.5598733,-58.4492538,Departamento,4.0,131.0,298000.0
56595,-34.550185,-58.467511,Departamento,1.0,34.0,109000.0
338304,-34.6366302791,-58.443294905,Departamento,2.0,45.0,110000.0
118122,-34.6428278,-58.4383265,Departamento,1.0,46.0,89000.0
425587,-34.611784,-58.4195713,Departamento,2.0,49.0,76000.0
3069,-34.613272,-58.51239,PH,4.0,126.0,173000.0
397424,-34.5636844,-58.4689892,Departamento,1.0,51.0,104275.0
283909,-34.6003791,-58.3726335,Departamento,1.0,29.0,70000.0
162552,-34.5930241,-58.4415256,Departamento,1.0,36.0,66000.0
178199,-34.6218712,-58.4276246,Departamento,2.0,44.0,121900.0
321528,-34.6119804,-58.4687187,Departamento,2.0,42.0,85000.0
195337,-34.5948065,-58.3942677,Departamento,6.0,329.0,870000.0
453004,-34.6115181,-58.3738937,Departamento,1.0,30.0,72000.0
425706,-34.558359,-58.474674,Departamento,2.0,75.0,165000.0
286259,-34.610496,-58.513274,PH,2.0,84.0,129800.0
347724,-34.6163299,-58.5068596,Casa,4.0,196.0,159000.0
200304,-34.5883839,-58.4428634,Casa,4.0,201.61556750126348,480000.0
386004,-34.6253271,-58.4138724,Departamento,1.0,33.0,75000.0
449763,-34.6016477,-58.4254098,Departamento,2.0,37.0,85000.0
420779,-34.6090117,-58.4069428,Departamento,3.0,55.0,78000.0
409136,-34.5995175,-58.4203598,Departamento,2.0,56.0,117000.0
343638,-34.5632118,-58.4491101116,Departamento,3.0,75.0,220000.0
443065,-34.6133745131,-58.4378702288,PH,4.0,160.0,318000.0
295657,-34.6283771,-58.4800415,Departamento,2.0,53.70901007772514,66900.0
48513,-34.62343,-58.465288,Departamento,2.0,43.0,70000.0
73385,-34.5711539,-58.4306879,Departamento,1.0,37.0,115000.0
246530,-34.5833161,-58.4151479,Departamento,4.0,141.0,400000.0
79504,-34.582706,-58.4685056,Departamento,2.0,43.0,84900.0
57051,-34.6096997,-58.4698887,PH,4.0,295.0,290000.0
248500,-34.6123593,-58.4787836,Departamento,3.0,70.0,120000.0
152106,-34.6109937,-58.3854736,Departamento,3.0,72.0,123000.0
371230,-34.587415,-58.402871,Departamento,4.0,115.0,498000.0
415589,-34.6115181,-58.3738937,Departamento,1.0,41.0,93000.0
454672,-34.6047415,-58.3760242,Departamento,3.0,50.0,109200.0
304863,-34.6393864,-58.4158868,Departamento,3.0,65.0,87000.0
58063,-34.5749683917,-58.4473496677,Departamento,3.0,65.0,153800.0
131940,-34.6082457,-58.363794,Departamento,2.0,67.0,315000.0
176038,-34.5731488,-58.4413407,Departamento,2.0,28.0,87000.0
288287,-34.584177526,-58.3870099558,Casa,6.0,130.0,320000.0
56594,-34.5412501,-58.4729664,Departamento,3.0,94.0,176000.0
343369,-34.553319092,-58.4675612228,Departamento,1.0,34.0,149500.0
442948,-34.5905615,-58.4750226,Departamento,1.0,34.0,53060.0
206779,-34.589033,-58.506427,Departamento,2.0,59.0,130000.0
366573,-34.5927299,-58.4123671,Departamento,4.0,97.0,260000.0
325218,-34.6401544,-58.4560281,Casa,4.0,155.0,239000.0
439597,-34.6303034,-58.4011527,Departamento,2.0,42.0,98000.0
354700,-34.6236089,-58.5088831,PH,2.0,40.0,82000.0
218981,-34.6077624758,-58.4174208976,Departamento,3.0,65.0,190000.0
135504,-34.6086187,-58.3831685,Departamento,1.0,24.0,65000.0
274592,-34.569369,-58.4314493,Departamento,3.0,115.0,480000.0
285680,-34.56233,-58.467953,Departamento,3.0,66.0,195000.0
301135,-34.6107448,-58.4506535,Departamento,3.0,65.0,185000.0
100165,-34.6324348,-58.4865672,PH,2.0,56.0,137000.0
93329,-34.5664961963,-58.4767270088,Departamento,3.0,58.0,119000.0
362150,-34.5673167,-58.4727681,Departamento,2.0,59.04866488606089,139000.0
399530,-34.6066,-58.3916,Departamento,3.0,63.0,123000.0
115246,-34.6503022,-58.5051922,PH,2.0,57.0,119000.0
236323,-34.5525943,-58.4429397,Departamento,3.0,73.0,315000.0
31510,-34.5904693,-58.504887,Departamento,4.0,123.0,260000.0
233455,-34.624069,-58.436356,Departamento,3.0,63.0,165000.0
398100,-34.5608342,-58.4664093,Departamento,3.0,83.0,179000.0
432652,-34.5965687,-58.4214252,PH,2.0,43.0,129000.0
89342,-34.55401,-58.466865,Departamento,1.0,35.0,82900.0
406234,-34.587889,-58.41505,Departamento,2.0,45.0,75000.0
455251,-34.6241447,-58.4040779,Departamento,2.0,51.0,115000.0
67904,-34.6217529,-58.4629264,Departamento,3.0,64.0,145000.0
139087,-34.6175851,-58.41832,Departamento,2.0,74.0,110000.0
9639,-34.6288802,-58.3758235,Departamento,1.0,26.0,55000.0
289491,-34.6186036,-58.3973807,Departamento,1.0,27.0,68000.0
159186,-34.5968859,-58.4030903,Departamento,3.0,74.0,169000.0
115111,-34.5928577,-58.380082,Departamento,4.0,120.0,430000.0
137119,-34.5819099,-58.4493808,Departamento,1.0,36.0,113367.0
61969,-34.59897,-58.417641,Departamento,1.0,38.0,82000.0
129868,-34.5631494853,-58.4572649002,PH,2.0,45.0,120000.0
236665,-34.5725001,-58.4588894,Departamento,3.0,49.0,147000.0
400161,-34.6153732,-58.4756584,Departamento,4.0,138.0,245000.0
308199,-34.5576624,-58.4742003,PH,2.0,35.0,94000.0
315560,-34.5924721,-58.4096451,Departamento,5.0,148.0,299000.0
