,latitud,longitud,property_type,property_rooms,property_surface_total,property_price
139861,-34.5862033,-58.5042674,Departamento,1.0,29.356682775063227,65000.0
99899,-34.5601594,-58.4715658,Departamento,3.0,60.0,142000.0
181972,-34.633095,-58.375649,Departamento,3.0,115.0,209000.0
216822,-34.5950542,-58.4079971,Departamento,3.0,96.38716776924205,150000.0
147808,-34.629424,-58.452252,Departamento,2.0,60.0,149900.0
300983,-34.5931257,-58.4153247,Departamento,3.0,88.0,150000.0
307773,-34.5935849,-58.4272206,Departamento,1.0,52.0,110000.0
246917,-34.6210669,-58.434946,Departamento,4.0,129.0,380000.0
452291,-34.59775,-58.3843081,Departamento,4.0,85.0,196000.0
409720,-34.6606309,-58.5153641,Departamento,2.0,35.0,75000.0
392824,-34.5755233032,-58.4416073958,Departamento,1.0,39.0,98000.0
320475,-34.5824025,-58.4273048,Departamento,2.0,50.0,155000.0
223839,-34.6487119,-58.5258101,Departamento,2.0,42.0,50000.0
77317,-34.6037547,-58.4239902,Departamento,2.0,45.0,100000.0
138126,-34.5896404,-58.4929688,PH,2.0,67.0,117900.0
276009,-34.5825962,-58.453969,PH,3.0,192.0,195000.0
38400,-34.5698921,-58.4576469,Departamento,3.0,61.0,220000.0
135894,-34.5928008,-58.3790167,Departamento,1.0,54.0,129600.0
314714,-34.6016161,-58.397163,Departamento,4.0,78.0,129000.0
147592,-34.557878,-58.4584726,Departamento,1.0,42.0,96000.0
46995,-34.6149783,-58.3934501,Departamento,1.0,45.0,70000.0
30511,-34.5586626,-58.4867755,Departamento,4.0,66.0,168000.0
45908,-34.5989424,-58.3761755,Departamento,3.0,87.0,119000.0
177736,-34.599951,-58.378777,Departamento,2.0,53.0,165000.0
231191,-34.5741222688,-58.4802568952,Departamento,2.0,53.0,123000.0
1090,-34.5899989,-58.4047261,Departamento,2.0,52.0,130000.0
314342,-34.605034,-58.412301,Departamento,2.0,47.0,57000.0
246560,-34.5740451,-58.4227669,Departamento,3.0,78.0,220000.0
153349,-34.5543859,-58.4829717,Departamento,2.0,60.0,85000.0
59150,-34.58038932,-58.4245204926,Departamento,1.0,35.0,150000.0
85753,-34.5655316,-58.4380373,Departamento,3.0,85.0,164000.0
312623,-34.607208,-58.469024,Departamento,4.0,123.0,199000.0
167964,-34.6033849,-58.4086051,Departamento,1.0,37.0,95000.0
271061,-34.6278404,-58.4471,PH,5.0,180.0,365000.0
384480,-34.5956582,-58.3934975,Departamento,3.0,78.0,190000.0
352441,-34.6135382,-58.419043,Departamento,2.0,32.0,65000.0
326160,-34.5875525,-58.3870804,Departamento,2.0,37.0,93000.0
359132,-34.637388,-58.4473428,Departamento,2.0,42.0,79600.0
93488,-34.6313058,-58.4007781,Departamento,1.0,30.0,69000.0
69479,-34.5620015,-58.4718407,Casa,5.0,495.0,840000.0
80298,-34.5536258,-58.459543,Departamento,1.0,31.64522110865925,83000.0
423316,-34.5639326,-58.4651224,Departamento,2.0,56.0,140000.0
281426,-34.5717598177,-58.4852448741,Departamento,2.0,52.0,135500.0
204188,-34.6237285,-58.4401954,Departamento,4.0,135.0,450000.0
286081,-34.59897,-58.388257,Departamento,4.0,100.0,195000.0
369452,-34.5448846,-58.4660128,PH,3.0,70.0,179000.0
400915,-34.6087142,-58.523918,Casa,4.0,228.0,270000.0
424777,-34.6299621739,-58.4637773037,Departamento,2.0,45.0,71000.0
104167,-34.6392337,-58.4159164,Departamento,3.0,64.0,83900.0
162693,-34.5888724,-58.4949907,Departamento,1.0,38.0,74000.0
46275,-34.5482195177,-58.4489592443,Casa,2.0,260.0,610000.0
179761,-34.5658073,-58.4369318,Departamento,2.0,60.0,220000.0
167704,-34.5559924,-58.4632581,Departamento,3.0,40.0,110000.0
250987,-34.5924228,-58.4968413,Departamento,2.0,47.0,78000.0
12087,-34.5492763,-58.4637734,Departamento,2.0,60.0,155000.0
115140,-34.6033502,-58.3983971,Departamento,4.0,98.0,163000.0
293164,-34.5699428,-58.4340503,Departamento,3.0,118.0,390000.0
80485,-34.5645266,-58.4399554,Departamento,2.0,52.0,185000.0
449552,-34.5535579927,-58.4595699876,Departamento,2.0,51.0,128000.0
